Title,Rooms,Price,Size,Type,Year,Location
Hirsikehikko,,6500,,Omakotitalo,1926,Pohjois-Pohjanmaa
Vantaa Vantaanlaakso Sarastuspolku 5 2hksterass,2H,168000,47,Kerrostalo,1989,Uusimaa
Okt Heinola,,130000,,Omakotitalo,1980,Päijät-Häme
Hakusessa rivitalo kaksio tai kolmiosiivikkala,,,,Rivitalo,,Pirkanmaa
Kolmio kerrosrivitalo tai omakotitalo,,,,Rivitalo,,Etelä-Savo
3h  k  kh 98 neliötä Mertala,3H,79000,,Kerrostalo,,Etelä-Savo
Oma koti,,,,Omakotitalo,,Etelä-Karjala
2H 485m² Eerikinkatu 43 C Helsinki,2H,425000,48,Kerrostalo,1939,Uusimaa
Launiala,,,,,,Etelä-Savo
Omakotitalo,,,,Omakotitalo,,Pohjois-Pohjanmaa
Remontoitava omakotitalo,,62000,,,1960,Satakunta
Ok talolomaasunto Järven rannalta,,,,Omakotitalo,2005,Uusimaa
HYVÄ OK TALO LOVIISA,,,,Omakotitalo,1975,Uusimaa
5H 120m² Kaakontie 4 Akaa,5H,198000,12,Omakotitalo,1987,Pirkanmaa
Helsinki Kallio Viides linja 2 2havokkph yht j,2H,299000,46,Kerrostalo,1914,Uusimaa
Komea kaksio Alavieskassa,,49000,,Rivitalo,,Pohjois-Pohjanmaa
3H 88m² Heikkiläntie 6 Helsinki,3H,770000,88,Kerrostalo,1947,Uusimaa
3hkerillinen Wc Suihku sauna ulkovarasto,3H,185000,,Rivitalo,1984,Uusimaa
Puukerrostalo,,60000,,Kerrostalo,1949,Pohjois-Pohjanmaa
Talo Näsijärven rannalta,,780000,,Omakotitalo,,Pirkanmaa
Omakotitalo Oulun tai Kempeleen alueelta,,,,Omakotitalo,1985,Pohjois-Pohjanmaa
4H 141m² Hollinkalliontie 9 Akaa,4H,209000,14,Omakotitalo,1955,Pirkanmaa
O yksiökaksiokolmio Oulusta,,,,Kerrostalo,1990,Pohjois-Pohjanmaa
4H 1475m² Maaherrankatu 15 Pori,4H,257000,14,Omakotitalo,1990,Satakunta
Kaksio Siivikkalasta,,,,Rivitalo,,Pirkanmaa
Pälkäne Asevelikylä Asevelitie 12 2hkkphwc,2H,76000,62,Rivitalo,1969,Pirkanmaa
Etsitään sitä omaa kotia,,,,,,Etelä-Pohjanmaa
Talo Sotkamon perukasta,,,,Omakotitalo,,Kainuu
KT 34Hk Päätyasunto 22,4H,,,Kerrostalo,1960,Etelä-Savo
Kaukolämpö kaksio Törnävältä,,107000,,Rivitalo,1990,Etelä-Pohjanmaa
Omakotitalo,,102000,,Omakotitalo,1981,Etelä-Savo
Omakotitalo Kontiomäkisaviranta alueelta,,,,Omakotitalo,,Kainuu
Kolmio Pirttiniemestä  kaksi autopaikkaa,,200000,,Rivitalo,2020,Pohjois-Savo
Omakotitalo,,120000,,Omakotitalo,1954,Satakunta
