Title,Rooms,Price,Size,Type,Year,Location
4H 153m² Erkyläntie 70 Riihimäki,4H,295000,153,Omakotitalo,1970,Kanta-Häme
3H 69m² Niskakuja 13 C Jyväskylä,3H,159000,69,Luhtitalo,1987,Keski-Suomi
1H 30m² Maahisentie 3 C Oulu,1H,54000,30,Kerrostalo,1970,Pohjois-Pohjanmaa
2H 37m² Kanavakatu 8 Rauma,2H,165000,37,Kerrostalo,2019,Satakunta
2H 49m² Maakalantie 22 AC Lempäälä,2H,24687,49,Rivitalo,2016,Pirkanmaa
Espoo Järvenperä Soihtukaari 2 6hkkpwkhhs2xwc,6H,348000,119,Omakotitalo,1985,Uusimaa
2H 36m² Kanavakatu 8 Rauma,2H,155000,36,Kerrostalo,2019,Satakunta
2H 535m² Piettasenristi 14 Tampere,2H,17584,53,Kerrostalo,2002,Pirkanmaa
3H 675m² Savilahdenkatu 21 B Mikkeli,3H,79000,67,Kerrostalo,1970,Etelä-Savo
Lappeenranta Peltola Ilkankatu 5 1hkk,1H,94400,31,Kerrostalo,1985,Etelä-Karjala
2H 49m² Kauppakatu 52 B Kuopio,2H,150000,49,Kerrostalo,1963,Pohjois-Savo
4H 135m² Viklakuja 17 Uusikaupunki,4H,188000,135,Omakotitalo,1986,Varsinais-Suomi
5H 122m² Puominmäenpolku 7 Uusikaupunki,5H,274000,122,Omakotitalo,2001,Varsinais-Suomi
2H 777m² Ruhtinaankatu 5 Pori,2H,49000,77,Rivitalo,1947,Satakunta
3H 775m² Kullervontie 9 C Uusikaupunki,3H,273000,77,Kerrostalo,2019,Varsinais-Suomi
1H 305m² Uudenkylänkatu 9 B Tampere,1H,119000,30,Kerrostalo,1967,Pirkanmaa
Lappeenranta Alakylä Männistönkatu 2 4hksth2xw,4H,190000,119,Omakotitalo,1980,Etelä-Karjala
3H 835m² Usvattarentie 37 Jyväskylä,3H,135000,83,Luhtitalo,2005,Keski-Suomi
2H 55m² Rakentajantie 1A 3 Kontiolahti,2H,82000,55,Rivitalo,1997,Pohjois-Karjala
5H 166m² Niittytie 19 Ulvila,5H,349000,166,Omakotitalo,2013,Satakunta
Helsinki Alppiharju Sturenkatu 7 1hkkkph,1H,159000,22,Kerrostalo,1941,Uusimaa
2H 62m² Paimenkatu 3 B Lapua,2H,44000,62,Rivitalo,1976,Etelä-Pohjanmaa
2H 465m² Vasamakatu 5 Lahti,2H,15225,46,Kerrostalo,1997,Päijät-Häme
2H 585m² Varusmiehentie 11 C Pori,2H,69000,58,Kerrostalo,1984,Satakunta
Mäntsälä Keskusta Antintie 2 5hkpshs2xwcvhau,5H,187000,158,Omakotitalo,1972,Uusimaa
2H 57m² Kiviahonkatu 10 Iisalmi,2H,33000,57,Kerrostalo,1982,Pohjois-Savo
1H 29m² Maunukselantie 7 Kouvola,1H,24000,29,Kerrostalo,1971,Kymenlaakso
3H 57m² Juhani Ahontie 34 Lapinlahti,3H,45000,57,Rivitalo,1974,Pohjois-Savo
3H 745m² Tuuvantie 4 Mikkeli,3H,199500,74,Kerrostalo,2015,Etelä-Savo
4H 93m² Saimaankatu 58 b Lahti,4H,27368,93,Kerrostalo,1995,Päijät-Häme
3H 80m² Mansikkapolku 3 A Rauma,3H,97000,80,Rivitalo,1989,Satakunta
4H 167m² Maisterintie 2 Uusikaupunki,4H,28900,167,Omakotitalo,1920,Varsinais-Suomi
3H 70m² Kivistöntie 40 Uusikaupunki,3H,78000,70,Omakotitalo,1958,Varsinais-Suomi
Helsinki Mellunkylä Yllästunturintie 1 2hklasit,2H,154000,50,Kerrostalo,1974,Uusimaa
2H 54m² Einar Ilmonin tie 2 B 11 Kangasala,2H,237000,54,Kerrostalo,2021,Pirkanmaa
1H 35m² Alvar Aallon katu 9 Kotka,1H,23000,35,Kerrostalo,1939,Kymenlaakso
4H 1275m² Kirkontaustantie 35 Uusikaupunki,4H,129000,127,Omakotitalo,1885,Varsinais-Suomi
Helsinki Vallila Mäkelänkatu 36 1h  kk  kph,1H,195000,21,Kerrostalo,1939,Uusimaa
1H 33m² Urheilukatu 11 B Rauma,1H,54000,33,Kerrostalo,1949,Satakunta
2H 515m² Viikinportti 4 C Helsinki,2H,255763,51,Kerrostalo,2012,Uusimaa
