Title,Rooms,Price,Size,Type,Year,Location
4H 1355m² Kynsilaukankatu 21 Tampere,4H,185000,135,Omakotitalo,1997,Pirkanmaa
2H 45m² Sairaalanrinne 4 c Oulu,2H,44900,45,Kerrostalo,1972,Pohjois-Pohjanmaa
5H 170m² Kairahtantie 28 Jyväskylä,5H,188000,170,Omakotitalo,1948,Keski-Suomi
2H 645m² Kuminatie 11 Janakkala,2H,79800,64,Rivitalo,1976,Kanta-Häme
4H 150m² Houtskarintie 902 Parainen,4H,299000,150,Omakotitalo,1927,Varsinais-Suomi
Espoo OlariPuolarmetsä Keelkorvenkuja 7 3hkts,3H,351500,62,Kerrostalo,2023,Uusimaa
5H 157m² Korukuja 9 Mikkeli,5H,278000,157,Omakotitalo,2004,Etelä-Savo
1H 335m² Mäkitorpantie 30 Helsinki,1H,269500,33,Kerrostalo,2017,Uusimaa
2H 58m² Kauppakatu 37 Lahti,2H,137000,58,Kerrostalo,1946,Päijät-Häme
2H 59m² Aittakuja 1 B 18 Pello,2H,19866,59,Kerrostalo,1972,Lappi
2H 62m² Vesatie 3 Tuusula,2H,129500,62,Kerrostalo,1971,Uusimaa
1H 405m² Karjapiha 9 Pori,1H,137500,40,Kerrostalo,2014,Satakunta
1H 26m² Loiskekuja 2 C A11 Vantaa,1H,167000,26,Kerrostalo,2017,Uusimaa
1H 31m² Lentovarikonkatu 2 B Tampere Tampere,1H,147500,31,Kerrostalo,2016,Pirkanmaa
3H 80m² Myrskytie 7 Lahti,3H,185000,80,Omakotitalo,2003,Päijät-Häme
3H 87m² Kalmonkatu 12 Tampere,3H,349000,87,Omakotitalo,1961,Pirkanmaa
3H 675m² Punakiventie 17 B Helsinki,3H,358000,67,Kerrostalo,2019,Uusimaa
3H 77m² Isosuontie 39 Läyliäinen,3H,70000,77,Omakotitalo,1976,Kanta-Häme
2H 36m² Kukintie 2 C Vantaa,2H,196000,36,Kerrostalo,2018,Uusimaa
3H 565m² Mallaskatu 16 PIISPANRISTI,3H,168225,56,Kerrostalo,2019,Varsinais-Suomi
3H 79m² Ilolantie 6 Vantaa,3H,31753,79,Rivitalo,2000,Uusimaa
3H 685m² Väinämöisenkatu 8 A 3 Loimaa,3H,153000,68,Kerrostalo,1953,Varsinais-Suomi
2H 43m² Hietalahdenkatu 39 A Vaasa,2H,79900,43,Kerrostalo,1953,Pohjanmaa
1H 445m² Itsenäisyydenkatu 18 Tampere,1H,189000,44,Kerrostalo,1940,Pirkanmaa
3H 76m² Havukallionkatu 3 C Vantaa,3H,117000,76,Kerrostalo,1977,Uusimaa
3H 71m² Partiomiehentie 1 Porvoo,3H,178000,71,Kerrostalo,1971,Uusimaa
4H 80m² Angervotie 14 A Helsinki,4H,440000,80,Kerrostalo,1960,Uusimaa
3H 73m² Pukkimäentie 1 Mäntsälä,3H,67000,73,Kerrostalo,1978,Uusimaa
6H 166m² Kirkkokatu 11 A Lahti,6H,458000,166,Kerrostalo,1939,Päijät-Häme
2H 56m² Lasitehtaantie 55 Riihimäki,2H,62000,56,Kerrostalo,1976,Kanta-Häme
2H 58m² Riimukatu 2 Lahti,2H,75800,58,Kerrostalo,1975,Päijät-Häme
2H 55m² Väinöntie 18 Kuopio,2H,47000,55,Rivitalo,1990,Pohjois-Savo
5H 140m² Ruukintie 7 Padasjoki,5H,58000,140,Omakotitalo,1952,Päijät-Häme
5H 90m² Hirvialhontie 5 Lapinjärvi Lapinjärvi,5H,84500,90,Omakotitalo,1949,Uusimaa
4H 120m² Metsärinne 7 B Kerava,4H,435000,120,Rivitalo,1993,Uusimaa
3H 66m² Lastenkodinkatu 13 a 17 Vaasa,3H,139000,66,Kerrostalo,1953,Pohjanmaa
3H 74m² Sepänniementie 13 Heinola,3H,162000,74,Kerrostalo,1990,Päijät-Häme
2H 56m² Rentukkatie 7 D Oulu,2H,88000,56,Rivitalo,1990,Pohjois-Pohjanmaa
4H 935m² Ratsukonkatu 6 Turku,4H,235000,93,Kerrostalo,1981,Varsinais-Suomi
1H 33m² Leppäkorventie 18 Sysmä,1H,20000,33,Kerrostalo,1970,Päijät-Häme
5H 119m² Poukamanpolku 3 Lahti,5H,189000,119,Omakotitalo,1971,Päijät-Häme
2H 56m² Punkkerikatu 4 Lappeenranta,2H,72900,56,Kerrostalo,1979,Etelä-Karjala
2H 435m² Käärtipolku 12 A Helsinki,2H,196000,43,Kerrostalo,1961,Uusimaa
3H 71m² Kevätkatu 9 Lahti,3H,69000,71,Kerrostalo,1968,Päijät-Häme
2H 555m² Hakatie 3 A9 Viitasaari,2H,33330,55,Kerrostalo,1974,Keski-Suomi
3H 130m² Kardrag Porvoo,3H,298000,130,Omakotitalo,1963,Uusimaa
2H 565m² Ollilanmutka 4 B5 Oulu,2H,155375,56,Rivitalo,2023,Pohjois-Pohjanmaa
2H 583m² Haltijantie 6 E Kotka,2H,18000,58,Kerrostalo,1975,Kymenlaakso
5H 144m² Varpukuja 4 Huittinen,5H,189000,144,Omakotitalo,1988,Satakunta
5H 140m² Puhelinkuja 5 Seinäjoki,5H,50000,140,Omakotitalo,1960,Etelä-Pohjanmaa
2H 535m² Helmipöllönkatu 7 E Espoo,2H,282000,53,Luhtitalo,2017,Uusimaa
2H 56m² Heikinlammentie 8 Pieksämäki,2H,23500,56,Rivitalo,1976,Etelä-Savo
2H 56m² Rahakamarinportti 1 Helsinki,2H,299000,56,Kerrostalo,1987,Uusimaa
1H 32m² Saviruukinkatu 17 Lahti,1H,64000,32,Kerrostalo,1972,Päijät-Häme
Seinäjoki Huhtala Vuorenmaanrinne 26 2hkks,2H,89000,45,Kerrostalo,1985,Etelä-Pohjanmaa
2H 395m² Hatanpään puistokuja 27 Tampere,2H,205000,39,Kerrostalo,2019,Pirkanmaa
3H 68m² Kaivokselantie 6 Vantaa,3H,179000,68,Kerrostalo,1963,Uusimaa
4H 636m² Hietaniemenkatu 1e12 Helsinki,4H,395000,63,Kerrostalo,1909,Uusimaa
6H 168m² Hirsikankaantie 2 Längelmäki Jämsä,6H,54000,168,Kerrostalo,1981,Keski-Suomi
4H 891m² Kylävuorenpenger 9 A C D Sipoo,4H,399000,89,Omakotitalo,2022,Uusimaa
5H 119m² Pohjolankatu 15 Lieksa,5H,82000,119,Omakotitalo,1982,Pohjois-Karjala
2H 62m² Kallionrinteentie 9 Kuopio,2H,40000,62,Rivitalo,1981,Pohjois-Savo
1H 33m² Kauppaneuvoksentie 12 Helsinki,1H,314000,33,Kerrostalo,1941,Uusimaa
1H 275m² Valkeisenkatu 2 A 22 Hatsala Kuopio,1H,159000,27,Kerrostalo,2023,Pohjois-Savo
2H 43m² Niittaajankatu 8 B D 4 Helsinki,2H,297000,43,Kerrostalo,2015,Uusimaa
3H 96m² Häyrisentie 4 Pieksämäki,3H,76850,96,Kerrostalo,1959,Etelä-Savo
3H 75m² Rauhantie 14 Varkaus,3H,14000,75,Rivitalo,1986,Pohjois-Savo
2H 56m² Lehtikuusentie 3 Rauma,2H,32815,56,Kerrostalo,1975,Satakunta
1H 24m² Piipputori 5 Jyväskylä,1H,126000,24,Kerrostalo,2017,Keski-Suomi
1H 41m² Niskapietiläntie 9 Imatra,1H,19000,41,Kerrostalo,1975,Etelä-Karjala
4H 795m² Teollisuuskatu Helsinki,4H,652000,79,Kerrostalo,2014,Uusimaa
7H 185m² Lipunkantajankuja 11 C Vantaa,7H,729000,185,Omakotitalo,2008,Uusimaa
Jyväskylä Ainola Kekkola Tanhukaari 2 3hkkhwc,3H,197600,70,Kerrostalo,2007,Keski-Suomi
4H 98m² Levälahdentie 44 as 5 Kuhmo,4H,110000,98,Rivitalo,1978,Kainuu
1H 36m² Halmstadinkatu 9 A Hanko,1H,92000,36,Kerrostalo,1973,Uusimaa
2H 55m² Savilankatu 2 Helsinki,2H,474000,55,Kerrostalo,1928,Uusimaa
1H 295m² Korteniityntie 5864 B 23 Jyväskylä,1H,94000,29,Kerrostalo,2012,Keski-Suomi
5H 148m² Kauppakuja 3 Alvajärvi Pihtipudas,5H,49500,148,Omakotitalo,1938,Keski-Suomi
2H 50m² Yläkiventie 3 Helsinki,2H,186870,50,Kerrostalo,1964,Uusimaa
2H 58m² Koivukyläntie 3739 F124 Vantaa,2H,159000,58,Kerrostalo,1969,Uusimaa
2H 475m² Kallenkatu 5 A 10 Imatra,2H,69000,47,Kerrostalo,1984,Etelä-Karjala
1H 35m² Koulutie 8 Hollola,1H,73718,35,Kerrostalo,1967,Päijät-Häme
2H 57m² Rönöntie 8 Reisjärvi,2H,35000,57,Rivitalo,1977,Pohjois-Pohjanmaa
3H 75m² Kivimäentie 6 Rauma,3H,85000,75,Omakotitalo,1950,Satakunta
2H 615m² Rautiokatu 4 Lahti,2H,27984,61,Rivitalo,2018,Päijät-Häme
Helsinki Kalasatama Englantilaisaukio 10 2havokk,2H,419800,52,Kerrostalo,2021,Uusimaa
3H 80m² Terveyskeskuksentie 8 A 4 Paimio,3H,135000,80,Rivitalo,1991,Varsinais-Suomi
2H 59m² Hiekkalaiturintie 3 A Helsinki,2H,215000,59,Kerrostalo,1994,Uusimaa
3H 70m² Säveltie 5 Helsinki,3H,220000,70,Kerrostalo,1980,Uusimaa
1H 32m² Kaupintie 18 a Helsinki,1H,149000,32,Kerrostalo,1985,Uusimaa
2H 63m² Helokantie 1 c Jyväskylä,2H,49000,63,Kerrostalo,1977,Keski-Suomi
4H 86m² Laajakummuntie 51 Pielavesi,4H,75000,86,Omakotitalo,1950,Pohjois-Savo
3H 695m² Veteraaninkuja 2 Savonlinna,3H,176500,69,Kerrostalo,2004,Etelä-Savo
1H 30m² Vanhatie 49 Heinola,1H,23750,30,Kerrostalo,1972,Päijät-Häme
1H 285m² Hoppastetie 26 D 10 Ylöjärvi,1H,24443,28,Rivitalo,1976,Pirkanmaa
4H 97m² Viheriävaarantie 1 Oulu,4H,77000,97,Omakotitalo,1969,Pohjois-Pohjanmaa
3H 775m² Isännänraitti 6 C Kotka,3H,75000,77,Kerrostalo,1983,Kymenlaakso
4H 97m² Koivusillantie 14 b Janakkala,4H,72000,97,Kerrostalo,1974,Kanta-Häme
7H 150m² Kaunolantie 70 Hämeenlinna,7H,179000,150,Omakotitalo,1970,Kanta-Häme
2H 495m² Motellintie 42 A 1 Mäntyharju,2H,39900,49,Luhtitalo,1982,Etelä-Savo
5H 168m² Iirislahdenranta 32 Espoo,5H,746000,168,Rivitalo,1990,Uusimaa
5H 189m² Valliharjuntie 5 Saarijärvi,5H,160000,189,Omakotitalo,1991,Keski-Suomi
1H 35m² Puistotie 5 Mäntyharju,1H,39000,35,Kerrostalo,1978,Etelä-Savo
2H 53m² Rantatie 7 Loimaa,2H,79500,53,Rivitalo,1986,Varsinais-Suomi
1H 28m² Puistokatu 17 Jyväskylä,1H,99500,28,Kerrostalo,1956,Keski-Suomi
3H 80m² Apialantie 2 D Jämsä,3H,58000,80,Kerrostalo,1978,Keski-Suomi
2H 53m² Vuorikummuntie 2 Helsinki,2H,224213,53,Kerrostalo,2021,Uusimaa
6H 292m² Papinniityntie 11 Kotka,6H,349550,292,Omakotitalo,2011,Kymenlaakso
3H 675m² Valtimotie 2e A 16 Vantaa,3H,267000,67,Kerrostalo,2017,Uusimaa
3H 86m² Hyljemäenportti 3 B 6 Espoo,3H,430000,86,Rivitalo,1989,Uusimaa
2H 57m² Haltijantie 11 C Kotka,2H,22000,57,Kerrostalo,1974,Kymenlaakso
5H 182m² pietiläntie 14 jämsä,5H,289000,182,Omakotitalo,2000,Keski-Suomi
4H 120m² Petronkatu 28 Pankakoski Lieksa,4H,75000,120,Omakotitalo,1954,Pohjois-Karjala
2H 345m² Pilkotunmäenkatu 7 Lahti,2H,55000,34,Kerrostalo,1964,Päijät-Häme
2H 517m² Pohjoiskaari 33 Helsinki,2H,385000,51,Kerrostalo,1975,Uusimaa
4H 94m² Harjutie 8 Hollola,4H,30542,94,Rivitalo,2005,Päijät-Häme
5H 1355m² Keskustie 23 Padasjoki,5H,105000,135,Omakotitalo,1987,Päijät-Häme
4H 70m² Inkilänmäenkatu 16 A 25 Kuopio,4H,158000,70,Kerrostalo,1971,Pohjois-Savo
2H 515m² Saarenvainionkatu 11 Tampere,2H,113000,51,Kerrostalo,1970,Pirkanmaa
1H 35m² Väyryläntie 7 Juuka,1H,19500,35,Kerrostalo,1975,Pohjois-Karjala
1H 345m² Harakkamäki 1 B Hämeenlinna,1H,39000,34,Kerrostalo,1979,Kanta-Häme
6H 203m² Virventie 8 Pudasjärvi,6H,650000,203,Omakotitalo,2001,Pohjois-Pohjanmaa
1H 312m² Pyhämaantie 1077 Uusikaupunki,1H,30000,31,Rivitalo,1974,Varsinais-Suomi
5H 1375m² Kluuvisaarentie 100 B Hanko,5H,1590000,137,Omakotitalo,2005,Uusimaa
2H 59m² Jalavakatu 3 A Lahti,2H,89000,59,Kerrostalo,1980,Päijät-Häme
2H 515m² Kirveskatu 12 Lahti,2H,87000,51,Kerrostalo,1958,Päijät-Häme
2H 375m² Jaspiskuja 6 c Vantaa,2H,199000,37,Kerrostalo,2018,Uusimaa
3H 67m² Kylätie 18 Helsinki,3H,429000,67,Kerrostalo,1957,Uusimaa
1H 29m² Ervinkatu 10 Pieksämäki,1H,9900,29,Kerrostalo,1964,Etelä-Savo
2H 595m² Nuottatie 2 Hämeenlinna,2H,92200,59,Kerrostalo,1972,Kanta-Häme
2H 35m² Martinpolku 8 Vantaa,2H,192000,35,Kerrostalo,2018,Uusimaa
2H 555m² Vaskipellontie 12 B 9 Vantaa,2H,323000,55,Rivitalo,2015,Uusimaa
3H 77m² Lokirinne 2 Espoo,3H,259922,77,Kerrostalo,1989,Uusimaa
3H 725m² Sulkutie 4 Jyväskylä,3H,182000,72,Rivitalo,2003,Keski-Suomi
2H 49m² Rauhankatu 5a A 24 Turku,2H,187000,49,Kerrostalo,1962,Varsinais-Suomi
2H 36m² Apteekkarinkatu 3 Helsinki,2H,249000,36,Luhtitalo,2018,Uusimaa
1H 30m² Hämeenkatu 12 Lahti,1H,139000,30,Kerrostalo,2018,Päijät-Häme
4H 119m² Pohjoinen Rinnetie 12 Ruokolahti,4H,89500,119,Omakotitalo,1978,Etelä-Karjala
5H 168m² Palttilantie 180 Laitila,5H,162000,168,Omakotitalo,1955,Varsinais-Suomi
4H 100m² Juurikantie 8 Varkaus,4H,68000,100,Rivitalo,1968,Pohjois-Savo
2H 50m² Metsäpellontie 47 B Lahti,2H,47000,50,Kerrostalo,1964,Päijät-Häme
5H 142m² Harjutie 16 A Espoo,5H,535000,142,Omakotitalo,1969,Uusimaa
Helsinki Punavuori Pursimiehenkatu 9 3h avok kph,3H,449000,72,Kerrostalo,1938,Uusimaa
2H 535m² Vaasantie 9 as 11 Äänekoski,2H,63000,53,Luhtitalo,1989,Keski-Suomi
6H 262m² Kalliotie 1 Posio,6H,99000,262,Omakotitalo,1980,Lappi
3H 815m² Mariankatu 7 Porvoo,3H,186000,81,Kerrostalo,1975,Uusimaa
12H 250m² Rasilantie 41 Ruokolahti,2H,120000,250,Kerrostalo,1947,Etelä-Karjala
3H 785m² Puruskorventie 5 Lohja,3H,138000,78,Kerrostalo,1975,Uusimaa
5H 150m² Orhitie 6 Vaasa,5H,289000,150,Omakotitalo,2000,Pohjanmaa
1H 44m² Asematie 1 Aura,1H,58000,44,Rivitalo,1980,Varsinais-Suomi
3H 69m² Viipurintie 13 Lahti,3H,152000,69,Kerrostalo,1972,Päijät-Häme
3H 745m² Yrjönkatu 12 F Jyväskylä,3H,159000,74,Kerrostalo,1979,Keski-Suomi
2H 445m² Matinkatu 4 Turku,2H,200000,44,Kerrostalo,1997,Varsinais-Suomi
2H 49m² Graniittitie 21 A Sipoo,2H,189700,49,Kerrostalo,2016,Uusimaa
3H 75m² Leivonmäentie 19 Joutsa,3H,48000,75,Rivitalo,1978,Keski-Suomi
4H 92m² Pilvikuja 14 B10 Imatra,4H,145000,92,Rivitalo,1989,Etelä-Karjala
2H 50m² Riistakatu 12a B 11 Iisalmi,2H,68000,50,Kerrostalo,1978,Pohjois-Savo
3H 805m² Sahrankatu 22 B Salo,3H,104500,80,Rivitalo,1984,Varsinais-Suomi
2H 415m² Capellanranta 10 Helsinki,2H,349000,41,Kerrostalo,2021,Uusimaa
3H 72m² Rantatie 12 Punkalaidun,3H,114000,72,Rivitalo,2012,Pirkanmaa
2H 675m² Rautatienpuistokatu 2 A Pori,2H,82000,67,Kerrostalo,1962,Satakunta
2H 51m² Oritie 3 Vantaa,2H,102900,51,Kerrostalo,1974,Uusimaa
5H 120m² Melatie 7 Joensuu,5H,150000,120,Omakotitalo,1968,Pohjois-Karjala
4H 90m² Kehäkuja 8 B Pori,4H,223000,90,Rivitalo,2016,Satakunta
3H 79m² Perkiönkatu 3 A Nokia,3H,137023,79,Kerrostalo,1991,Pirkanmaa
2H 26m² Ratakatu 11 Tampere,2H,134000,26,Kerrostalo,1918,Pirkanmaa
5H 1145m² Ollilanmutka 4 A2 Oulu,5H,297700,114,Omakotitalo,2023,Pohjois-Pohjanmaa
3H 745m² Mäntykuja 4 B Kangasala,3H,107000,74,Kerrostalo,1968,Pirkanmaa
4H 91m² Alkutie 19 Helsinki,4H,438000,91,Rivitalo,1974,Uusimaa
2H 432m² Särkeläntie 4 B 10 Kemijärvi,2H,25000,43,Kerrostalo,1960,Lappi
2H 35m² Rimapolku 7 A2 Parikkala,2H,32000,35,Luhtitalo,1980,Etelä-Karjala
Hyvinkää Parantola Kauppalankatu 23 5hkkphparve,5H,174000,96,Kerrostalo,1960,Uusimaa
2H 45m² Harjukatu 3 Kotka,2H,25000,45,Kerrostalo,1939,Kymenlaakso
3H 72m² Merivirta 9 Espoo,3H,194000,72,Kerrostalo,1975,Uusimaa
3H 80m² Itäkatu 2 Kotka,3H,119500,80,Kerrostalo,1966,Kymenlaakso
1H 265m² Santaniitynkatu 19 Kerava,1H,149500,26,Kerrostalo,2018,Uusimaa
2H 645m² Wareliuksenkatu 9 Turku,2H,195000,64,Rivitalo,1995,Varsinais-Suomi
1H 44m² Kasarminkatu 21 B Vaasa,1H,122000,44,Kerrostalo,1936,Pohjanmaa
1H 28m² Ropakkotie 6 Nurmijärvi,1H,115000,28,Kerrostalo,2018,Uusimaa
5H 121m² Kalliokatu 22 Rauma,5H,329000,121,Omakotitalo,2018,Satakunta
5H 135m² Lähdesuonkatu 11 B Lahti,5H,79500,135,Omakotitalo,1964,Päijät-Häme
6H 285m² Naruskantie 147 Salla,6H,139000,285,Omakotitalo,1952,Lappi
2H 53m² Brunkomin rantatie 11 Raasepori,2H,34000,53,Kerrostalo,1962,Uusimaa
2H 60m² Savontie 2830 C Pieksämäki,2H,19000,60,Kerrostalo,1966,Etelä-Savo
1H 385m² Keskustie 2 Kompantie 3 Mäntyharju,1H,47000,38,Rivitalo,1982,Etelä-Savo
Lahti Kivimaa Suomenkatu 18 5h k kph s aula k,5H,175000,89,Omakotitalo,1941,Päijät-Häme
2H 49m² Suivantie 1 Asikkala,2H,59000,49,Kerrostalo,1975,Päijät-Häme
1H 30m² Päätie 23 A5 Kouvola,1H,15950,30,Kerrostalo,1975,Kymenlaakso
1H 275m² Valajankatu 18 Jyväskylä,1H,119900,27,Kerrostalo,2018,Keski-Suomi
3H 815m² Teollisuuskatu 20 Helsinki,3H,625000,81,Kerrostalo,2015,Uusimaa
Hyvinkää Vehkoja AliAnttilantie 2 1hkkphlasite,1H,79000,35,Kerrostalo,1985,Uusimaa
4H 84m² Perhekunnantie 9 D 12 Helsinki,4H,290000,84,Luhtitalo,1987,Uusimaa
2H 55m² Roihankatu 15 B 9 Simpele,2H,50000,55,Kerrostalo,1961,Etelä-Karjala
5H 146m² ItäOinasjoentie 84 b Vihti,5H,290000,146,Omakotitalo,1997,Uusimaa
1H 30m² Keskustie 18 Jyväskylä,1H,80000,30,Kerrostalo,1986,Keski-Suomi
3H 85m² Abrahaminkuja 7 Haapavesi,3H,124000,85,Omakotitalo,1992,Pohjois-Pohjanmaa
3H 99m² Fredrikinkatu 60 A Helsinki,3H,995000,99,Kerrostalo,1926,Uusimaa
3H 77m² Niittaajankatu 6 B 16 Helsinki,3H,448000,77,Kerrostalo,2011,Uusimaa
2H 61m² KantaLoimaantie 5 AB 20 Loimaa,2H,39000,61,Kerrostalo,1972,Varsinais-Suomi
2H 495m² Marttilankatu 29 Sastamala,2H,97500,49,Kerrostalo,1990,Pirkanmaa
2H 405m² Uno Savolan katu 19 A 07 Jyväskylä,2H,183500,40,Kerrostalo,2020,Keski-Suomi
2H 50m² Rummelitie 5 d 10 Ulvila,2H,64000,50,Rivitalo,1993,Satakunta
1H 36m² Metsolantie 4D 35 Suonenjoki,1H,16584,36,Kerrostalo,1972,Pohjois-Savo
2H 62m² Hänninkuja 24 B2 Riihimäki,2H,115000,62,Rivitalo,1986,Kanta-Häme
4H 121m² Bodankaari 30 Raasepori,4H,325000,121,Omakotitalo,2014,Uusimaa
2H 58m² Äkkiväärä 2 Joensuu,2H,90000,58,Kerrostalo,1992,Pohjois-Karjala
3H 77m² Armas Launiksen katu 11 F 78 Espoo,3H,283500,77,Kerrostalo,1987,Uusimaa
2H 33m² LänsiPäijänteentie 18 Jyväskylä,2H,109500,33,Kerrostalo,2012,Keski-Suomi
4H 89m² Veräjämäenkatu 26 as 4 Lahti,4H,167000,89,Rivitalo,1979,Päijät-Häme
3H 80m² mätästie 1 helsinki,3H,239000,80,Kerrostalo,1971,Uusimaa
5H 166m² Mansikkakuja 8 Sastamala,5H,178000,166,Omakotitalo,1988,Pirkanmaa
1H 28m² Aleksis Kiven katu 56 Helsinki,1H,210000,28,Kerrostalo,1928,Uusimaa
3H 53m² Hakolahdentie 23 A3 Helsinki,3H,460000,53,Kerrostalo,1961,Uusimaa
1H 25m² Kylmänojankatu 8 Nokia,1H,68500,25,Kerrostalo,1957,Pirkanmaa
3H 765m² Eerikinkatu 5 Salo,3H,87000,76,Kerrostalo,1987,Varsinais-Suomi
3H 544m² Reinolankatu 3 D Kotka,3H,48000,54,Kerrostalo,1963,Kymenlaakso
3H 69m² Louhentie 7 Espoo,3H,349000,69,Kerrostalo,1964,Uusimaa
5H 115m² Rahkatie 7 Pudasjärvi,5H,64000,115,Omakotitalo,1977,Pohjois-Pohjanmaa
2H 625m² Läkkisepänkatu 3 A 2 Varkaus,2H,21000,62,Kerrostalo,1981,Pohjois-Savo
2H 63m² Nevakuja 7 A1 Seinäjoki,2H,55000,63,Rivitalo,1985,Etelä-Pohjanmaa
2H 60m² Louhisaarentie 3 Askainen,2H,73000,60,Omakotitalo,1952,Varsinais-Suomi
2H 58m² Nycanderinkatu 5 F 40 Hanko,2H,188000,58,Kerrostalo,1978,Uusimaa
3H 61m² Kotinummentie 28 Helsinki,3H,299000,61,Rivitalo,2022,Uusimaa
4H 93m² Mäntymäentie 6 A Vaasa,4H,186000,93,Kerrostalo,1986,Pohjanmaa
4H 805m² Lensunpolku 6 B Rauma,4H,62000,80,Kerrostalo,1974,Satakunta
2H 63m² Vähäkangasjärventie 7 A 1 MänttäVilppu,2H,32000,63,Kerrostalo,1975,Pirkanmaa
3H 84m² Laaksokatu 3 Lahti,3H,178000,84,Kerrostalo,1995,Päijät-Häme
1H 21m² Kymenlaaksonkatu 4 Kotka,1H,49500,21,Kerrostalo,1948,Kymenlaakso
2H 575m² Lääkarintie 9 Nurmijärvi,2H,89000,57,Kerrostalo,1976,Uusimaa
2H 44m² Kumpukuja 4 Kouvola,2H,35000,44,Kerrostalo,1968,Kymenlaakso
3H 73m² Pitotie 15 A Vantaa,3H,349000,73,Rivitalo,2019,Uusimaa
3H 715m² Kaituentie 46C62 Mikkeli,3H,83500,71,Kerrostalo,1975,Etelä-Savo
5H 288m² Vasteenin rantatie 19 Hamina,5H,499000,288,Omakotitalo,2008,Kymenlaakso
1H 275m² Keltasafiirinpolku 1 Vantaa,1H,175000,27,Kerrostalo,2019,Uusimaa
3H 63m² Kanteenmaantie 553 Punkalaidun,3H,30000,63,Omakotitalo,1948,Pirkanmaa
3H 109m² Häyrisentie 42 Pieksämäki,3H,95000,109,Omakotitalo,1953,Etelä-Savo
Vantaa Martinlaakso Kukinkuja 3 4hkkphwcvhp,4H,155000,90,Kerrostalo,1972,Uusimaa
1H 29m² Välikatu 13 Nokia,1H,109000,29,Kerrostalo,2020,Pirkanmaa
2H 585m² Haratie 4 C 33 Hämeenlinna,2H,58000,58,Kerrostalo,1975,Kanta-Häme
1H 36m² Piirolankuja 6 c 7 Valtimo,1H,7000,36,Rivitalo,1979,Pohjois-Karjala
3H 81m² Kiskokatu 33 Kouvola,3H,59000,81,Kerrostalo,1954,Kymenlaakso
1H 34m² Kilpalantie 2 Luhanka,1H,24000,34,Rivitalo,1983,Keski-Suomi
2H 50m² Nupurinkalliontie 25 Espoo,2H,150000,50,Omakotitalo,1948,Uusimaa
1H 18m² Aleksis Kiven katu 38 Helsinki,1H,188000,18,Kerrostalo,1928,Uusimaa
2H 435m² Pohjanakanpolku 4 Lahti,2H,73000,43,Kerrostalo,1964,Päijät-Häme
3H 72m² Pirantie 2 Sastamala,3H,45500,72,Kerrostalo,1966,Pirkanmaa
2H 585m² Strömsinlahdenkuja 1 Helsinki,2H,265000,58,Kerrostalo,1992,Uusimaa
7H 229m² Riihelänkatu 95 Lahti,7H,406000,229,Omakotitalo,2007,Päijät-Häme
3H 80m² Tuohiniementie 14 Pieksämäki,3H,83000,80,Rivitalo,1991,Etelä-Savo
1H 37m² Kuoretie 13 Virolahti,1H,40000,37,Rivitalo,1989,Kymenlaakso
1H 335m² Eskolantie 11 A 3 Kotka,1H,32000,33,Kerrostalo,1972,Kymenlaakso
3H 76m² Kalevantie 7 Lahti,3H,153000,76,Rivitalo,1989,Päijät-Häme
3H 76m² Koivikonkatu 4 A 3 Suonenjoki,3H,87000,76,Rivitalo,1978,Pohjois-Savo
5H 1156m² Nällikuja 4 Ruokolahti,5H,115000,115,Omakotitalo,1947,Etelä-Karjala
1H 27m² Orvokkitie 5 Vantaa,1H,148000,27,Kerrostalo,1964,Uusimaa
1H 27m² HEINÄKEDONTIE 5 Kirkkonummi,1H,133000,27,Kerrostalo,2021,Uusimaa
1H 32m² Vesijärvenkatu 21 Lahti,1H,148000,32,Kerrostalo,2014,Päijät-Häme
1H 31m² Pakkamestarinkatu 1 Helsinki,1H,189000,31,Kerrostalo,1975,Uusimaa
2H 585m² Mustalammenkuja 7 Savonlinna,2H,67500,58,Kerrostalo,1975,Etelä-Savo
3H 795m² Nuolikatu 2 A 3 Lahti,3H,132268,79,Rivitalo,1990,Päijät-Häme
3H 74m² Vuosaarentie 10 Helsinki,3H,265000,74,Kerrostalo,1968,Uusimaa
2H 355m² Aniantie 19 Asikkala,2H,41300,35,Kerrostalo,1966,Päijät-Häme
8H 208m² Kuusimäentie 13 A Vantaa,8H,799000,208,Omakotitalo,2007,Uusimaa
3H 78m² Helsinginkatu 19 Helsinki,3H,358000,78,Kerrostalo,1963,Uusimaa
3H 87m² Puijonkatu 41 Kuopio,3H,290400,87,Kerrostalo,1968,Pohjois-Savo
6H 150m² Kurhilankatu 9 Lahti,6H,325000,150,Omakotitalo,1982,Päijät-Häme
1H 35m² Sudenkaari 47 A 3 Siuntio,1H,89000,35,Rivitalo,1972,Uusimaa
2H 487m² Puistokatu 5 Varkaus,2H,29900,48,Kerrostalo,1961,Pohjois-Savo
1H 36m² Mannerheimintie 69 A Helsinki,1H,322000,36,Kerrostalo,1938,Uusimaa
2H 375m² Kinaporinkatu 5 Helsinki,2H,269000,37,Kerrostalo,1937,Uusimaa
4H 895m² Laajavuorenrinne 6 E Vantaa,4H,162000,89,Kerrostalo,1972,Uusimaa
4H 121m² Laikkalammintie 298 Jokioinen,4H,132000,121,Omakotitalo,1981,Kanta-Häme
